"Story","Title","Result","Date","Stability","Duration (s)"
"Test All Lender Data APIs","POST API to create new Lender","SUCCESS","2020-05-14T11:24:21.4676239+05:30[Asia/Calcutta]","0.0","0.83"
"Test All Lender Data APIs","Get Lenders list","SUCCESS","2020-05-14T11:24:22.318556+05:30[Asia/Calcutta]","0.0","0.45"
"Test All Lender Data APIs","Get Lender by User Id","SUCCESS","2020-05-14T11:24:22.7904438+05:30[Asia/Calcutta]","0.0","0.48"
"Test All Lender Data APIs","Get Lender by non existing User Id","SUCCESS","2020-05-14T11:24:23.2815511+05:30[Asia/Calcutta]","0.0","0.46"
