"Story","Title","Result","Date","Stability","Duration (s)"
"Test Lender Data API","POST API to create new Lender","SUCCESS","2020-05-13T18:02:33.1564412+05:30[Asia/Calcutta]","0.0","0.95"
"Test Lender Data API","Get Lenders list","SUCCESS","2020-05-13T18:02:34.1300648+05:30[Asia/Calcutta]","0.0","0.48"
"Test Lender Data API","Get Lender by User Id","SUCCESS","2020-05-13T18:02:34.6365797+05:30[Asia/Calcutta]","0.0","0.44"
"Test Lender Data API","Get Lender by non existing User Id","SUCCESS","2020-05-13T18:02:35.0943044+05:30[Asia/Calcutta]","0.0","0.48"
