"Story","Title","Result","Date","Stability","Duration (s)"
"Test Lender Data API","POST API to create new Lender","SUCCESS","2020-05-06T16:45:49.5266387+05:30[Asia/Calcutta]","0.0","2.97"
"Test Lender Data API","Get Lenders list","SUCCESS","2020-05-06T16:45:52.5181518+05:30[Asia/Calcutta]","0.0","0.86"
"Test Lender Data API","Get Lender by User Id","SUCCESS","2020-05-06T16:45:53.4061591+05:30[Asia/Calcutta]","0.0","1.26"
"Test Lender Data API","Get Lender by non existing User Id","SUCCESS","2020-05-06T16:45:54.6964761+05:30[Asia/Calcutta]","0.0","2.5"
