"Story","Title","Result","Date","Stability","Duration (s)"
"Test All Customer Data APIs","POST API to create new customer","SUCCESS","2020-05-14T11:23:45.648006+05:30[Asia/Calcutta]","0.0","9.89"
"Test All Customer Data APIs","All Customers GET API to get all customers including deleted","SUCCESS","2020-05-14T11:23:55.5991301+05:30[Asia/Calcutta]","0.0","0.83"
"Test All Customer Data APIs","Customers GET API to get 	list of customers","SUCCESS","2020-05-14T11:23:56.4597597+05:30[Asia/Calcutta]","0.0","0.59"
"Test All Customer Data APIs","Customer GET API to get customer by Id","SUCCESS","2020-05-14T11:23:57.0861293+05:30[Asia/Calcutta]","0.0","1.4"
"Test All Customer Data APIs","Customer GET API to get customer by Id that not exist","SUCCESS","2020-05-14T11:23:58.5160134+05:30[Asia/Calcutta]","0.0","0.59"
"Test All Customer Data APIs","Customer DELETE API to delete customer by Id","SUCCESS","2020-05-14T11:23:59.1254782+05:30[Asia/Calcutta]","0.0","1.94"
"Test All Customer Data APIs","Customer DELETE API to delete customer by Id that not exist","SUCCESS","2020-05-14T11:24:01.0915957+05:30[Asia/Calcutta]","0.0","0.54"
