"Story","Title","Result","Date","Stability","Duration (s)"
"Test All Customer Data Apis","POST API to create new customer","SUCCESS","2020-05-03T20:19:26.953821+05:30[Asia/Kolkata]","0.0","4.48"
"Test All Customer Data Apis","All Customers GET API to get all customers including deleted","SUCCESS","2020-05-03T20:19:31.456543+05:30[Asia/Kolkata]","0.0","0.54"
"Test All Customer Data Apis","Customers GET API to get 	list of customers","SUCCESS","2020-05-03T20:19:32.007602+05:30[Asia/Kolkata]","0.0","1.27"
"Test All Customer Data Apis","Customer GET API to get customer by Id","SUCCESS","2020-05-03T20:19:33.29054+05:30[Asia/Kolkata]","0.0","1.91"
"Test All Customer Data Apis","Customer GET API to get customer by Id that not exist","SUCCESS","2020-05-03T20:19:35.212335+05:30[Asia/Kolkata]","0.0","0.39"
"Test All Customer Data Apis","Customer DELETE API to delete customer by Id","SUCCESS","2020-05-03T20:19:35.608329+05:30[Asia/Kolkata]","0.0","1.56"
"Test All Customer Data Apis","Customer DELETE API to delete customer by Id that not exist","SUCCESS","2020-05-03T20:19:37.183302+05:30[Asia/Kolkata]","0.0","0.43"
