"Story","Title","Result","Date","Stability","Duration (s)"
"Test All Customer Data APIs","POST API to create new customer","SUCCESS","2020-05-14T12:38:40.1052957+05:30[Asia/Calcutta]","0.0","6.55"
"Test All Customer Data APIs","All Customers GET API to get all customers including deleted","SUCCESS","2020-05-14T12:38:46.6965613+05:30[Asia/Calcutta]","0.0","0.78"
"Test All Customer Data APIs","Customers GET API to get 	list of customers","SUCCESS","2020-05-14T12:38:47.5169193+05:30[Asia/Calcutta]","0.0","1.19"
"Test All Customer Data APIs","Customer GET API to get customer by Id","SUCCESS","2020-05-14T12:38:48.7257986+05:30[Asia/Calcutta]","0.0","0.9"
"Test All Customer Data APIs","Customer GET API to get customer by Id that not exist","SUCCESS","2020-05-14T12:38:49.6395949+05:30[Asia/Calcutta]","0.0","0.39"
"Test All Customer Data APIs","Customer DELETE API to delete customer by Id","SUCCESS","2020-05-14T12:38:50.0453024+05:30[Asia/Calcutta]","0.0","1.93"
"Test All Customer Data APIs","Customer DELETE API to delete customer by Id that not exist","SUCCESS","2020-05-14T12:38:51.9863022+05:30[Asia/Calcutta]","0.0","0.46"
